id,name,account,num_nodes,run_time,submit_time,start_time,end_time,state,avg_node_power,max_node_power,energy
jid_264155,1054.0,121.0,1,67,-344,0,68,JobState.COMPLETED,176.53061224489798,176.53061224489795,11827.551020408164
jid_264155,1054.0,121.0,1,68,-344,0,69,JobState.COMPLETED,176.53061224489798,176.53061224489795,12004.081632653062
jid_264155,1054.0,121.0,1,72,-344,0,73,JobState.COMPLETED,176.53061224489795,176.53061224489795,12710.204081632652
jid_264155,1054.0,121.0,1,73,-344,0,74,JobState.COMPLETED,176.53061224489795,176.53061224489795,12886.73469387755
jid_264155,1054.0,121.0,1,73,-344,0,74,JobState.COMPLETED,176.53061224489795,176.53061224489795,12886.73469387755
jid_264155,1054.0,121.0,1,74,-344,0,75,JobState.COMPLETED,176.53061224489795,176.53061224489795,13063.265306122448
jid_264155,1054.0,121.0,1,74,-344,0,75,JobState.COMPLETED,176.53061224489795,176.53061224489795,13063.265306122448
jid_264155,1054.0,121.0,1,74,-344,0,75,JobState.COMPLETED,176.53061224489795,176.53061224489795,13063.265306122448
jid_264155,1054.0,121.0,1,75,-344,0,76,JobState.COMPLETED,176.53061224489795,176.53061224489795,13239.795918367347
jid_264155,1054.0,121.0,1,75,-344,0,76,JobState.COMPLETED,176.53061224489795,176.53061224489795,13239.795918367347
jid_264155,1054.0,121.0,1,76,-344,0,77,JobState.COMPLETED,176.53061224489795,176.53061224489795,13416.326530612245
jid_264155,1054.0,121.0,1,76,-344,0,77,JobState.COMPLETED,176.53061224489795,176.53061224489795,13416.326530612245
jid_264155,1054.0,121.0,1,76,-344,0,77,JobState.COMPLETED,176.53061224489795,176.53061224489795,13416.326530612245
jid_264155,1054.0,121.0,1,76,-344,0,77,JobState.COMPLETED,176.53061224489795,176.53061224489795,13416.326530612245
jid_264155,1054.0,121.0,1,78,-344,0,79,JobState.COMPLETED,176.53061224489795,176.53061224489795,13769.38775510204
jid_264155,1054.0,121.0,1,80,-344,0,81,JobState.COMPLETED,176.53061224489795,176.53061224489795,14122.448979591836
jid_264155,1054.0,121.0,1,80,-344,0,81,JobState.COMPLETED,176.53061224489795,176.53061224489795,14122.448979591836
jid_264155,1054.0,121.0,1,81,-344,0,82,JobState.COMPLETED,176.53061224489795,176.53061224489795,14298.979591836734
