id,name,account,num_nodes,run_time,submit_time,start_time,end_time,state,avg_node_power,max_node_power,energy
jid_901658,92940.0,168.0,1,19,-20,0,20,JobState.COMPLETED,176.53061224489795,176.53061224489795,3354.081632653061
jid_901661,92940.0,168.0,1,31,11,11,43,JobState.COMPLETED,176.53061224489795,176.53061224489795,5472.448979591836
jid_901662,92940.0,168.0,1,31,16,16,48,JobState.COMPLETED,176.53061224489795,176.53061224489795,5472.448979591836
jid_901663,92940.0,168.0,1,19,32,32,52,JobState.COMPLETED,176.53061224489795,176.53061224489795,3354.081632653061
jid_901664,92940.0,168.0,1,78,-16,0,79,JobState.COMPLETED,176.53061224489795,176.53061224489795,13769.38775510204
jid_901667,92940.0,168.0,1,86,10,10,97,JobState.COMPLETED,176.53061224489795,176.53061224489795,15181.632653061224
jid_901665,92940.0,168.0,1,29,70,70,100,JobState.COMPLETED,176.53061224489795,176.53061224489795,5119.3877551020405
jid_901666,92940.0,168.0,1,19,80,80,100,JobState.COMPLETED,176.53061224489795,176.53061224489795,3354.081632653061
jid_901668,92940.0,168.0,1,32,72,72,105,JobState.COMPLETED,176.53061224489795,176.53061224489795,5648.9795918367345
jid_901669,92940.0,168.0,1,85,30,30,116,JobState.COMPLETED,176.53061224489795,176.53061224489795,15005.102040816326
jid_901673,92940.0,168.0,1,19,128,128,148,JobState.COMPLETED,176.53061224489795,176.53061224489795,3354.081632653061
jid_901674,92940.0,168.0,1,86,67,67,154,JobState.COMPLETED,176.53061224489795,176.53061224489795,15181.632653061224
jid_901671,92940.0,168.0,1,30,123,123,154,JobState.COMPLETED,176.53061224489795,176.53061224489795,5295.918367346939
jid_901675,92940.0,168.0,1,159,2,2,162,JobState.COMPLETED,176.5306122448979,176.53061224489795,28068.367346938765
jid_901672,92940.0,168.0,1,167,-20,0,168,JobState.COMPLETED,176.5306122448979,176.53061224489795,29480.612244897948
jid_901676,92940.0,168.0,1,89,90,90,180,JobState.COMPLETED,176.53061224489795,176.53061224489795,15711.224489795917
jid_901677,92940.0,168.0,1,18,180,180,199,JobState.COMPLETED,176.53061224489795,176.53061224489795,3177.551020408163
jid_901678,92940.0,168.0,1,70,134,134,205,JobState.COMPLETED,176.53061224489795,176.53061224489795,12357.142857142857
jid_901679,92940.0,168.0,1,29,180,180,210,JobState.COMPLETED,176.53061224489795,176.53061224489795,5119.3877551020405
jid_901681,92940.0,168.0,1,85,131,131,217,JobState.COMPLETED,176.53061224489795,176.53061224489795,15005.102040816326
jid_901680,92940.0,168.0,1,34,182,182,217,JobState.COMPLETED,176.53061224489795,176.53061224489795,6002.04081632653
jid_901684,92940.0,168.0,1,87,148,148,236,JobState.COMPLETED,176.53061224489795,176.53061224489795,15358.163265306122
