week,Jobs <= 5 nodes (%),Jobs <= 50 nodes (%),Jobs <= 250 nodes (%),Jobs <= 4500 nodes (%),Jobs > 4500 nodes (%)
2021-03-01/2021-03-07,92.04727383929054,5.146516522458671,0.9479951790757496,1.635156769980752,0.22305768919429403
2021-03-08/2021-03-14,88.46388660313752,6.0547341597430515,1.1812173174422,4.178058556525894,0.12210336315132853
2021-03-15/2021-03-21,91.95516555837389,3.4037156372112154,1.384794680194694,3.033522999931446,0.22280112428875024
2021-03-22/2021-03-28,97.01382033563672,0.8440276406712734,0.29121421520236923,1.5893385982230996,0.26159921026653504
2021-03-29/2021-04-04,58.082901554404145,16.683937823834196,9.067357512953368,13.160621761658032,3.005181347150259
2021-04-05/2021-04-11,65.53366174055829,22.364532019704434,7.536945812807881,4.400656814449918,0.16420361247947454
2021-04-12/2021-04-18,42.098153984691585,42.18820351193156,8.374606033318326,6.956325979288609,0.3827104907699235
2021-04-19/2021-04-25,60.26207302709069,32.67078916372203,3.4452296819787986,3.180212014134275,0.441696113074205
2021-04-26/2021-05-02,62.797335870599426,25.537583254043767,7.935299714557564,3.311132254995243,0.41864890580399616
2021-05-03/2021-05-09,43.33643988816402,51.39277208242725,3.748576162369266,1.3254633944289118,0.19674847261054157
2021-05-10/2021-05-16,72.75903203817315,21.13156100886162,3.3997955010224947,2.5136332651670075,0.1959781867757328
2021-05-17/2021-05-23,64.95484622747514,15.822547754796288,1.381663822880686,17.76187107245412,0.07907112239377419
2021-05-24/2021-05-30,95.81053801819725,3.215236534917059,0.49881513121324716,0.43298908750475407,0.0424212281676955
2021-05-31/2021-06-06,85.60332294911734,11.044652128764278,2.039460020768432,1.217030114226376,0.09553478712357218
2021-06-07/2021-06-13,91.29503916449086,6.827676240208877,1.0757180156657964,0.7310704960835509,0.07049608355091383
2021-06-14/2021-06-20,48.12891573065418,49.13360049669809,1.7215104137269288,0.9454196534401986,0.07055370548061184
2021-06-21/2021-06-27,47.78256189451023,46.8729817007535,2.7233584499461787,2.5457481162540367,0.07534983853606028
2021-06-28/2021-07-04,51.2962962962963,36.11111111111111,4.652777777777778,7.75462962962963,0.1851851851851852
2021-07-26/2021-08-01,84.88796248045857,8.650338718082335,2.918186555497655,3.1266284523189163,0.4168837936425221
2021-08-02/2021-08-08,86.24892647155976,10.282750875338573,1.463301843165753,1.8398625883596487,0.16515822157627005
2021-08-09/2021-08-15,87.40968160283725,9.281952200725193,1.6568297911759258,1.5800756954185744,0.07146070984305111
2021-08-16/2021-08-22,86.54370396148715,7.609767414883127,2.5578562728380025,3.1726697987355723,0.11600255205614524
2021-08-23/2021-08-29,71.08996920369556,22.486801583809942,3.4920809502859655,2.8156621205455346,0.11548614166300045
2021-08-30/2021-09-05,72.93130809340286,13.783722511902063,7.844026297891634,5.350260711856722,0.09068238494672409
