id,name,account,num_nodes,run_time,submit_time,start_time,end_time,state,ml_priority,avg_node_power,max_node_power,energy
jid_688472,62724.0,262.0,4,1933,3357899,3454073,3456007,JobState.COMPLETED,4.6279425621032715,135.61140383061345,135.61140383061345,1048547.3744183033
jid_693831,55929.0,136.0,2,31,3455982,3455987,3456019,JobState.COMPLETED,6.701236724853516,176.53061224489795,176.53061224489795,10944.897959183672
jid_669654,774.9999999999927,13.0,6,19,2813104,3456000,3456020,JobState.COMPLETED,3.9306085109710693,176.53061224489795,176.53061224489795,20124.489795918365
jid_669654,774.9999999999927,13.0,6,19,2813104,3456000,3456020,JobState.COMPLETED,3.9306085109710693,176.53061224489795,176.53061224489795,20124.489795918365
jid_669654,774.9999999999927,13.0,6,19,2813104,3456000,3456020,JobState.COMPLETED,3.9306085109710693,176.53061224489795,176.53061224489795,20124.489795918365
jid_669654,774.9999999999927,13.0,6,19,2813105,3456000,3456020,JobState.COMPLETED,3.9306085109710693,176.53061224489795,176.53061224489795,20124.489795918365
jid_670284,35586.0,13.0,6,19,2811879,3456000,3456020,JobState.COMPLETED,3.9276998043060303,176.53061224489795,176.53061224489795,20124.489795918365
jid_670284,35586.0,13.0,6,19,2811879,3456000,3456020,JobState.COMPLETED,3.9276998043060303,176.53061224489795,176.53061224489795,20124.489795918365
jid_669654,774.9999999999927,13.0,6,20,2813104,3456000,3456021,JobState.COMPLETED,3.9306085109710693,176.53061224489795,176.53061224489795,21183.673469387755
jid_693833,276.0,130.0,2,3,3456122,3456122,3456126,JobState.COMPLETED,6.8418965339660645,176.53061224489795,176.53061224489795,1059.1836734693877
jid_688497,62687.0,262.0,4,1874,3359424,3454731,3456606,JobState.COMPLETED,4.651608467102051,137.2249330246202,137.22493302462004,1028638.0979525531
jid_693634,62565.0,557.0,8,2218,3452006,3454534,3456753,JobState.COMPLETED,3.2715001106262207,176.53061224489815,176.53061224489795,3132359.1836734726
jid_693846,103.0,468.0,2999,531,3456512,3456512,3457044,JobState.COMPLETED,0.17470912635326385,176.5306122448978,176.53061224489795,281119527.5510202
jid_688470,62724.0,262.0,4,1978,3357760,3455404,3457383,JobState.COMPLETED,4.662841320037842,136.66992725129367,136.6699272512936,1081332.4644122354
jid_688506,62729.0,262.0,4,1487,3359506,3456000,3457488,JobState.COMPLETED,4.6105170249938965,143.63994764584314,143.63994764584368,854370.408597475
jid_688506,62704.0,262.0,4,1502,3359504,3456000,3457503,JobState.COMPLETED,4.6293158531188965,144.27856044489326,144.2785604448931,866825.5911529186
jid_688496,62711.0,262.0,4,1514,3359364,3456000,3457515,JobState.COMPLETED,4.635882377624512,144.0710949339856,144.07109493398553,872494.5509202167
jid_688496,62713.0,262.0,4,1519,3359364,3456000,3457520,JobState.COMPLETED,4.6360697746276855,143.9202111037666,143.92021110376643,874459.2026664859
jid_688496,62719.0,262.0,4,1525,3359365,3456000,3457526,JobState.COMPLETED,4.650147914886475,143.7497626422241,143.74976264222437,876873.552117567
jid_688478,62737.0,262.0,4,1532,3358316,3456000,3457533,JobState.COMPLETED,4.650777816772461,144.31883841084945,144.31883841084917,884385.8417816855
jid_688496,62717.0,262.0,4,1536,3359364,3456000,3457537,JobState.COMPLETED,4.645885944366455,143.31891913687656,143.31891913687676,880551.4391769696
jid_688506,62625.0,262.0,4,1573,3359500,3456000,3457574,JobState.COMPLETED,4.595254421234131,141.30329749063586,141.30329749063614,889080.3478110809
jid_688506,62739.0,262.0,4,1574,3359507,3456000,3457575,JobState.COMPLETED,4.656524658203125,142.08439276821804,142.0843927682178,894563.3368687008
jid_688506,62724.0,262.0,4,1578,3359506,3456000,3457579,JobState.COMPLETED,4.648005962371826,141.9929435530732,141.99294355307345,896259.459706998
jid_688506,62740.0,262.0,4,1597,3359508,3456000,3457598,JobState.COMPLETED,4.6535420417785645,141.53456177271445,141.5345617727148,904122.7806041
jid_688496,62707.0,262.0,4,1604,3359363,3456000,3457605,JobState.COMPLETED,4.636016845703125,142.25668097459004,142.25668097458976,912718.8651329697
jid_688506,62733.0,262.0,4,1614,3359507,3456000,3457615,JobState.COMPLETED,4.640925407409668,141.91678767616028,141.91678767616008,916214.7812372908
jid_688506,62603.0,262.0,4,1631,3359498,3456000,3457632,JobState.COMPLETED,4.652925491333008,141.59804320919187,141.5980432091919,923785.6338967677
jid_688506,62692.0,262.0,4,1798,3359503,3456000,3457799,JobState.COMPLETED,4.642046928405762,136.75327650261542,136.75327650261576,983529.5646068101
